country,year,total,men,women
Afghanistan,2004,8,11,5
Albania,2004,11,11,11
Algeria,2005,13,13,13
Andorra,2008,11,11,12
Anguilla,2008,11,11,11
Antigua and Barbuda,2000,14,12,16
Argentina,2007,16,15,17
Armenia,2009,12,12,13
Aruba,2009,13,13,13
Australia,2008,21,20,21
Austria,2008,15,15,15
Azerbaijan,2008,13,13,13
Bahrain,2006,14,14,15
Bangladesh,2007,8,8,8
Belarus,2007,15,14,15
Belgium,2008,16,16,16
Belize,2009,12,12,13
Benin,2001,9,10,6
Bermuda,2006,12,12,12
Bhutan,2008,11,11,11
Bolivia (Plurinational State of),2007,14,14,14
Bosnia and Herzegovina,2009,14,13,14
Botswana,2006,12,12,12
Brazil,2008,14,14,14
British Virgin Islands,2005,17,15,19
Brunei Darussalam,2009,14,14,14
Bulgaria,2008,14,13,14
Burkina Faso,2009,6,7,6
Burundi,2006,10,8,7
Cambodia,2007,10,10,9
Cameroon,2009,10,11,9
Canada,2002,16,16,16
Cape Verde,2009,12,11,12
Cayman Islands,2008,12,11,12
Central African Republic,2009,7,8,5
Chad,2009,7,9,5
Chile,2008,15,15,15
China,2008,11,11,12
"China, Hong Kong SAR",2009,16,15,16
"China, Macao SAR",2009,14,15,14
Colombia,2009,14,13,14
Comoros,2004,11,12,10
Congo,2003,9,10,8
Cook Islands,2010,12,12,13
Costa Rica,2005,12,12,12
Côte d'Ivoire,2000,6,8,5
Croatia,2008,14,13,14
Cuba,2009,18,16,19
Cyprus,2008,14,14,14
Czech Republic,2008,15,15,16
Democratic Republic of the Congo,2008,8,9,7
Denmark,2008,17,16,18
Djibouti,2007,5,5,4
Dominica,2008,15,14,15
Dominican Republic,2004,12,11,13
Ecuador,2008,14,14,14
Egypt,2004,11,11,11
El Salvador,2008,12,12,12
Equatorial Guinea,2000,8,9,7
Eritrea,2009,5,6,4
Estonia,2008,16,15,17
Ethiopia,2008,9,9,8
Fiji,2005,13,13,13
Finland,2008,17,16,18
France,2008,16,16,16
Gabon,1999,13,13,12
Gambia,2004,9,9,8
Georgia,2008,13,13,13
Ghana,2007,10,10,9
Greece,2007,16,16,17
Grenada,2009,16,16,17
Guatemala,2007,11,11,10
Guinea,2008,9,10,7
Guinea-Bissau,2000,9,7,5
Guyana,2009,12,12,12
Hungary,2008,15,15,16
Iceland,2008,18,17,20
India,2007,10,11,10
Indonesia,2008,13,13,13
Iran (Islamic Republic of),2007,14,13,15
Iraq,2004,10,11,8
Ireland,2008,18,18,18
Israel,2008,15,15,16
Italy,2008,16,16,17
Jamaica,2008,14,13,14
Japan,2008,15,15,15
Jordan,2008,13,13,13
Kazakhstan,2010,15,15,16
Kenya,2009,11,11,11
Kiribati,2008,12,12,12
Kuwait,2009,13,12,14
Kyrgyzstan,2009,12,12,13
Lao People's Democratic Republic,2008,9,10,8
Latvia,2008,15,14,17
Lebanon,2009,14,13,14
Lesotho,2006,10,10,10
Liberia,2000,11,13,9
Libyan Arab Jamahiriya,2003,17,16,17
Liechtenstein,2008,12,13,12
Lithuania,2008,16,15,17
Luxembourg,2006,13,13,13
Madagascar,2006,10,10,9
Malawi,2007,9,9,9
Malaysia,2007,12,12,13
Maldives,2006,12,13,12
Mali,2009,8,9,7
Malta,2008,14,14,15
Mauritania,2006,8,8,8
Mauritius,2008,14,13,14
Mexico,2008,14,14,14
Monaco,2001,18,17,18
Mongolia,2009,14,13,15
Montserrat,2007,15,14,17
Morocco,2005,10,11,9
