date,headline,section,url,word_count
2015-09-02,From &#8216;Game of Thrones&#8217; to the D.E.A.: Pedro Pascal on &#8216;Narcos&#8217;,Arts,http://artsbeat.blogs.nytimes.com/2015/09/02/game-of-thrones-pedro-pascal-narcos/,1054
2015-09-02,Summer Culture Guide,Arts,http://www.nytimes.com/interactive/2015/arts/summer-culture-guide.html,
2015-09-02,What&#8217;s On TV Wednesday,Arts,http://www.nytimes.com/2015/09/02/arts/television/whats-on-tv-wednesday.html,705
2015-09-02,"Noah Davis, 32, Artist and Founder of Underground Museum in Los Angeles, Dies",Arts,http://www.nytimes.com/2015/09/02/arts/noah-davis-california-figurative-artist-and-founder-of-the-underground-museum-dies-at-32.html,486
2015-09-02,"Nikolaus Lehnhoff, German Opera Director, Dies at 76",Arts,http://www.nytimes.com/2015/09/02/arts/nikolaus-lehnhoff-german-opera-director-dies-at-76.html,485
2015-09-02,"Blondell Cummings, Dancer of Life&#8217;s Everyday Details, Dies at 70",Arts,http://www.nytimes.com/2015/09/02/arts/dance/blondell-cummings-dancer-of-lifes-everyday-details-dies-at-70.html,775
2015-09-02,"Maria on ‘Sesame Street,’ Sonia Manzano, Tells of Her Own Childhood",Arts,http://www.nytimes.com/2015/09/02/arts/television/maria-on-sesame-street-sonia-manzano-tells-of-her-own-childhood.html,1020
2015-09-02,Review: &#8216;Big Blue Live&#8217; Searches for Marine Life,Arts,http://www.nytimes.com/2015/09/02/arts/television/review-big-blue-live-searches-for-marine-life.html,384
2015-09-02,"Review: Janet Jackson, on Unbreakable Tour, Shows Off Her Demure Side",Arts,http://www.nytimes.com/2015/09/02/arts/music/review-janet-jackson-unbreakable-tour-vancouver.html,650
2015-09-01,&#8216;Narcos&#8217; Episode 9 Recap: The Two Faces of Pablo Escobar,Arts,http://artsbeat.blogs.nytimes.com/2015/09/01/narcos-episode-9-recap-la-catedral/,1024
2015-09-01,Five Poets Receive Lucrative Fellowships,Arts,http://artsbeat.blogs.nytimes.com/2015/09/01/five-poets-receive-lucrative-fellowships/,151
2015-09-01,Phillips and Sotheby&#8217;s Announce Strategic Moves,Arts,http://artsbeat.blogs.nytimes.com/2015/09/01/phillips-and-sothebys-announce-strategic-moves/,324
2015-09-01,Shakespeare Gets Hip-Hop Treatment With App,Arts,http://artsbeat.blogs.nytimes.com/2015/09/01/shakespeare-gets-hip-hop-treatment-with-app/,154
2015-09-01,"Idris Elba, Called &#8216;Too Street&#8217; to Play James Bond, Gets an Apology",Arts,http://artsbeat.blogs.nytimes.com/2015/09/01/author-apologizes-idris-elba-too-street-james-bond/,325
2015-09-01,"Robert Rodriguez, Film Director and El Rey Founder, on Creating a Hispanic Network",Arts,http://artsbeat.blogs.nytimes.com/2015/09/01/robert-rodriguez-film-director-and-el-rey-founder-on-creating-a-hispanic-network/,944
2015-09-01,Arabic &#8216;Sesame Street&#8217; Returns for First Time Since Gulf War,Arts,http://artsbeat.blogs.nytimes.com/2015/09/01/arabic-sesame-street-returns-for-first-time-since-gulf-war/,417
2015-09-01,"Classical Music This Week: Milhaud, Jazz at Yale and Czech Baroque",Arts,http://www.nytimes.com/2015/09/01/arts/music/classical-music-this-week-milhaud-jazz-at-yale-and-czech-baroque.html,425
2015-09-01,Popcast: 2015 MTV Video Music Awards,Arts,http://www.nytimes.com/2015/09/01/arts/music/popcast-2015-mtv-video-music-awards.html,199
2015-09-01,"Dance This Week: Satellite Collective, a Degas Dancer and More",Arts,http://www.nytimes.com/2015/09/01/arts/dance/dance-this-week-satellite-collective-a-degas-dancer-and-more.html,442
2015-09-01,What&#8217;s On TV Tuesday,Arts,http://www.nytimes.com/2015/09/01/arts/television/whats-on-tv-tuesday.html,625
2015-09-01,"Wayne W. Dyer, Prolific Author of Self-Help Books, Dies at 75",Arts,http://www.nytimes.com/2015/09/01/arts/wayne-w-dyer-prolific-author-of-self-help-books-dies-at-75.html,913
