date,headline,section,url,word_count
2015-05-24,A Comedian Who Stood in a Range of Spotlights,Obituaries,http://www.nytimes.com/slideshow/2015/05/24/obituaries/25MEARA.html,25
2015-05-15,"B.B. King, Bluesman of Distinction",Obituaries,http://www.nytimes.com/video/obituaries/100000003686211/bb-king-bluesman-of-distinction.html,24
2015-05-06,"Joshua Ozersky, Food Writer Who Extolled Meat, Is Dead at 47",Obituaries,http://www.nytimes.com/2015/05/05/dining/joshua-ozersky-prolific-food-writer-is-dead.html,623
2015-04-16,"Joel Spira, Physicist Who Softened the Lights in Homes Everywhere, Dies at 88",Obituaries,http://www.nytimes.com/2015/04/15/business/joel-spira-physicist-who-softened-the-lights-in-homes-everywhere-dies-at-88.html,673
2015-02-27,Nimoy Explains Origin of Vulcan Greeting,Obituaries,http://www.nytimes.com/video/obituaries/100000003536154/nimoy-explains-origin-of-vulcan-greeting.html,31
2015-01-01,Cuomo at the 1984 Democratic Convention,Obituaries,http://www.nytimes.com/video/obituaries/100000003268326/cuomo-at-the-1984-democratic-convention.html,23
2014-12-31,Looking Back: Those We Lost in 2014,Obituaries,http://www.nytimes.com/2014/12/31/nyregion/notable-deaths-in-2014.html,1999
2014-10-22,"Alfred Wertheimer, Photographer of a Young Elvis",Obituaries,http://www.nytimes.com/slideshow/2014/10/22/obituaries/Wertheimer-obit-copy.html,24
2014-10-21,"Oscar de la Renta, Who Clothed Stars and Became One, Dies at 82",Obituaries,http://www.nytimes.com/2014/10/21/nyregion/oscar-de-la-renta-fashion-designer-dies-at-82.html,1864
2014-10-04,Death of a Dictator,Obituaries,http://www.nytimes.com/video/obituaries/100000003158331/death-of-a-dictator.html,18
2014-08-20,Life of a Yoga Guru,Obituaries,http://www.nytimes.com/video/obituaries/100000003066368/life-of-a-yoga-guru.html,33
2014-08-11,"Robin Williams, Oscar-Winning Actor, Dies at 63",Obituaries,http://www.nytimes.com/slideshow/2014/08/11/obituaries/WILLIAMS-slideshow-now.html,14
2014-07-20,An Actor of Disarming Wit,Obituaries,http://www.nytimes.com/slideshow/2014/07/20/obituaries/20140721-GARNER-feeds.html,35
2014-07-14,Robert Gardner and Peter Matthiessen,Obituaries,http://www.nytimes.com/video/obituaries/100000002999087/robert-gardner-and-peter-matthiessen.html,32
2014-07-13,A Life on the Podium,Obituaries,http://www.nytimes.com/slideshow/2014/07/13/obituaries/14MAAZEL_ss.html,28
2014-04-07,Mickey Rooney Dies at 93,Obituaries,http://www.nytimes.com/slideshow/2014/04/07/obituaries/20140407-ROONEY-now.html,20
2013-11-09,A Portfolio of Celebrated Characters,Obituaries,http://www.nytimes.com/slideshow/2013/11/09/obituaries/mitchell-obit.html,14
