date,headline,section,url,word_count
2015-09-02,Pro Wrestler Charged With Murder in 1983 Death,Sports,http://www.nytimes.com/2015/09/02/sports/pro-wrestler-charged-withmurder-in-1983-death.html,127
2015-09-02,Rio to Test Olympic Waters for Viruses,Sports,http://www.nytimes.com/2015/09/02/sports/rio-to-test-olympic-waters-for-viruses.html,159
2015-09-02,Hawks to Retire Mutombo&#8217;s No. 55,Sports,http://www.nytimes.com/2015/09/02/sports/basketball/hawks-to-retire-mutombos-no-55.html,27
2015-09-02,"Fans, Lights and Andy Murray Beat Nick Kyrgios at U.S. Open",Sports,http://www.nytimes.com/2015/09/02/sports/tennis/fans-lights-and-andy-murray-beat-nick-kyrgios-at-us-open.html,764
2015-09-02,Mets&#8217; Sudden Crowd Comes Up Empty ,Sports,http://www.nytimes.com/2015/09/02/sports/baseball/mets-sudden-crowd-comes-up-empty.html,915
2015-09-02,"Yankees’ Betances Escapes Trouble, and Pineda Picks Up 10th Win",Sports,http://www.nytimes.com/2015/09/02/sports/baseball/yankees-betances-escapes-trouble-and-pineda-picks-up-10th-win.html,992
2015-09-02,Jets Put Jace Amaro on Injured Reserve With Shoulder Injury,Sports,http://www.nytimes.com/2015/09/02/sports/football/jets-put-jace-amaro-on-injured-reserve-with-shoulder-injury.html,580
2015-09-02,"Roger Federer, an Old Hand With a New Move, Keeps Everyone Guessing",Sports,http://www.nytimes.com/2015/09/02/sports/tennis/roger-federer-an-old-hand-with-a-new-move-keeps-everyone-guessing.html,876
2015-09-02,Donald Young Comes From Behind by Not Looking Back,Sports,http://www.nytimes.com/2015/09/02/sports/tennis/facing-early-exit-donald-young-rallies-past-11th-seed.html,945
2015-09-02,"Sony Altered ‘Concussion’ Film to Prevent N.F.L. Protests, Emails Show",Sports,http://www.nytimes.com/2015/09/02/sports/football/makers-of-sonys-concussion-film-tried-to-avoid-angering-nfl-emails-show.html,1475
2015-09-02,Los Angeles to Be U.S. Bidder to Host 2024 Olympics,Sports,http://www.nytimes.com/2015/09/02/sports/olympics/los-angeles-moves-ahead-with-bid-to-host-2024-olympics.html,592
2015-09-02,Real Madrid and Manchester United Trade Jabs After Transfer Fails,Sports,http://www.nytimes.com/2015/09/02/sports/soccer/real-madrid-and-manchester-united-trade-blame-after-a-transfer-goes-wrong.html,1067
2015-09-02,Serena Williams’s Links to a Pioneer Keep Growing Clearer,Sports,http://www.nytimes.com/2015/09/02/sports/tennis/althea-gibsons-life-a-prequel-to-serena-williamss-success.html,1091
2015-09-02,Injured Vitalia Diatchenko Shows Retirement Has Its Perks,Sports,http://www.nytimes.com/2015/09/02/sports/tennis/injured-player-lasts-long-enough-to-stir-debate-on-award-money.html,694
2015-09-02,2015 Fantasy Football: Tight End Preview and Rankings,Sports,http://www.nytimes.com/2015/09/02/sports/football/2015-fantasy-football-tight-end-preview-and-rankings.html,1410
2015-09-02,"Tests, Near and Far, for Sebastian Coe, Track’s New Chief",Sports,http://www.nytimes.com/2015/09/01/sports/as-tracks-new-leader-sebastian-coe-faces-own-set-of-hurdles.html,1075
2015-09-01,"Rafael Nadal, Reinvigorated, Subdues a Rising Star",Sports,http://www.nytimes.com/2015/09/01/sports/tennis/rafael-nadal-reinvigorated-subdues-a-rising-star.html,300
2015-09-01,Email Released in Iowa Bias Case,Sports,http://www.nytimes.com/2015/09/01/sports/email-released-in-iowa-bias-case.html,282
2015-09-01,U.C.L.A. Starter Is Arrested,Sports,http://www.nytimes.com/2015/09/01/sports/football/ucla-starter-is-arrested.html,173
2015-09-01,Manchester Goalkeeper’s Transfer in Limbo,Sports,http://www.nytimes.com/2015/09/01/sports/soccer/manchester-goalkeepers-transfer-in-limbo.html,94
2015-09-01,Stalking Suspect Shot at W.W.E. Site,Sports,http://www.nytimes.com/2015/09/01/sports/stalking-suspect-shot-at-wwe-site.html,138
2015-09-01,Missed Opportunities Haunt the Yankees on a Frustrating Night in Boston,Sports,http://www.nytimes.com/2015/09/01/sports/baseball/yankees-counting-on-greg-bird-to-replace-mark-teixeira-come-up-short.html,1190
2015-09-01,Danny Salazar Shines as Indians Top Blue Jays for Their Sixth Straight Win,Sports,http://www.nytimes.com/2015/09/01/sports/baseball/danny-salazar-shines-as-indians-top-blue-jays-for-their-sixth-straight-win.html,605
2015-09-01,Italian Wins 10th Vuelta Stage,Sports,http://www.nytimes.com/2015/09/01/sports/cycling/italian-wins-10th-vuelta-stage.html,129
2015-09-01,Mets’ Efficiency Pays Off in Latest Win Over Phils,Sports,http://www.nytimes.com/2015/09/01/sports/baseball/mets-show-off-efficiency-in-defeat-of-phillies.html,870
2015-09-01,"At U.S. Open Match, a Sea of Bills Blue",Sports,http://www.nytimes.com/2015/09/01/sports/tennis/at-us-open-match-a-sea-of-bills-blue.html,535
2015-09-01,"Mardy Fish Advances After a Long, Hot Match",Sports,http://www.nytimes.com/2015/09/01/sports/tennis/mardy-fish-advances-after-a-long-hot-match.html,560
2015-09-01,U.S. Tennis Association’s New Executive Waits Patiently for American Boys to Fill a Void,Sports,http://www.nytimes.com/2015/09/01/sports/tennis/us-tennis-associations-new-executive-waits-patiently-for-american-boys-to-fill-a-void.html,1046
2015-09-01,Serena Williams Coasts Through First Round at U.S. Open,Sports,http://www.nytimes.com/2015/09/01/sports/tennis/easy-opener-for-serena-williams-as-opponent-quits.html,611
2015-09-01,An Analyst’s Seamless Injection Into ESPN’s Rotation,Sports,http://www.nytimes.com/2015/09/01/sports/baseball/an-analysts-seamless-injection-into-espns-rotation.html,829
2015-09-01,Making American Men’s Game Great Again: Ideas?,Sports,http://www.nytimes.com/2015/09/01/sports/tennis/making-american-mens-tennis-great-again-may-take-time.html,982
2015-09-01,Redskins Name Kirk Cousins as Quarterback; Steelers Obtain Kicker,Sports,http://www.nytimes.com/2015/09/01/sports/football/redskins-name-kirk-cousins-as-quarterback-steelers-obtain-kicker.html,632
2015-09-01,U.S. Open 2015: Stars Take a Beating on a Topsy-Turvy Day,Sports,http://www.nytimes.com/2015/09/01/sports/tennis/upsets-galore-on-day-1-of-us-open.html,940
2015-09-01,Strict Enforcement of FIFA Rules Sidelines Young Players Abroad,Sports,http://www.nytimes.com/2015/09/01/sports/soccer/strict-enforcement-of-fifa-rules-sidelines-young-players-abroad.html,1556
