date,headline,section,url,word_count
2015-09-03,North Korea Denies Apologizing for Land Mine Blasts,World,http://www.nytimes.com/2015/09/03/world/asia/north-korea-denies-apologizing-for-land-mine-blasts.html,490
2015-09-02,Images of Palestinian Pleasure Not Allowed,World,http://www.nytimes.com/2015/09/02/world/middleeast/images-of-palestinian-pleasure-not-allowed.html,699
2015-09-02,Police and Migrants Clash in Budapest,World,http://www.nytimes.com/video/world/100000003887544/police-and-migrants-clash-in-budapest.html,22
2015-09-02,Kerry Warns Against No Vote on Iran Deal,World,http://www.nytimes.com/video/world/middleeast/100000003887456/kerry-warns-against-no-vote-on-iran-deal.html,28
2015-09-02,Iranian General Speaks of U.S. Enmity,World,http://www.nytimes.com/video/world/middleeast/100000003887198/iranian-commander-on-us-enmity-to-iran.html,32
2015-09-02,Afghans Freed from Locked Van,World,http://www.nytimes.com/video/world/europe/100000003887092/afghans-freed-from-locked-van.html,24
2015-09-02,1965: Fighting in Kashmir,World,http://iht-retrospective.blogs.nytimes.com/2015/09/02/1965-fighting-in-kashmir/,82
2015-09-02,1940: New York Teems With Visitors,World,http://iht-retrospective.blogs.nytimes.com/2015/09/02/1940-new-york-teems-with-visitors/,133
2015-09-02,China&#8217;s Military Parades: A Look Back,World,http://sinosphere.blogs.nytimes.com/2015/09/02/chinas-military-parades-a-look-back/,562
2015-09-02,Trespassers Disrupt Eurostar Trains,World,http://www.nytimes.com/video/world/europe/100000003886873/trespassers-disrupt-eurostar-trains.html,26
2015-09-02,Chinese Comedian Suing Baidu Over Biographical Entry,World,http://sinosphere.blogs.nytimes.com/2015/09/02/chinese-comedian-suing-baidu-over-biographical-entry/,1242
2015-09-02,"For Thousands of Exhausted Migrants, a Journey’s End in Munich",World,http://www.nytimes.com/2015/09/02/world/europe/for-thousands-of-exhausted-migrants-a-journeys-end-in-munich.html,1264
2015-09-02,Clashes Over Draft Constitution Kill 5 in Nepal,World,http://www.nytimes.com/2015/09/02/world/asia/clashes-over-draft-constitution-kill-5-in-nepal.html,393
2015-09-02,Azerbaijan: Journalist Critical of Leader Is Sentenced to 7 1/2 Years in Prison,World,http://www.nytimes.com/2015/09/02/world/asia/azerbaijan-journalist-critical-of-leader-is-sentenced-to-7-1-2-years-in-prison.html,134
2015-09-02,President Otto Pérez Molina Is Stripped of Immunity in Guatemala,World,http://www.nytimes.com/2015/09/02/world/americas/guatemala-votes-to-strip-its-president-of-immunity.html,702
2015-09-02,Icelanders Use Facebook to Open Door to Refugees,World,http://www.nytimes.com/2015/09/02/world/europe/iceland-residents-join-on-facebook-to-offer-help-to-refugees.html,558
2015-09-02,Kuwait: 26 Accused of Iran-Linked Plot,World,http://www.nytimes.com/2015/09/02/world/middleeast/kuwait-26-accused-of-iran-linked-plot.html,115
2015-09-02,"Preparing for a Military Parade, China Deploys a Troop of Monkeys",World,http://www.nytimes.com/2015/09/02/world/asia/china-parade-monkeys.html,489
2015-09-02,Qaeda-Affiliated Group Overruns African Union Base in Somalia,World,http://www.nytimes.com/2015/09/02/world/africa/qaeda-affiliated-group-overruns-african-union-base-in-somalia.html,332
2015-09-02,Rashomon on the West Bank: Israelis and Palestinians Debate Images of Soldier and Child,World,http://www.nytimes.com/2015/09/02/world/middleeast/rashomon-on-the-west-bank-israelis-and-palestinians-debate-images-of-soldier-and-child.html,2053
2015-09-02,Pessimism Pervades Mexico as Economic Promises Fall Short,World,http://www.nytimes.com/2015/09/02/world/americas/mexicans-remain-pessimistic-on-economy-despite-signs-of-progress.html,1223
2015-09-02,"U.S. Remains the ‘Great Satan,’ Hard-Liners in Iran Say",World,http://www.nytimes.com/2015/09/02/world/middleeast/us-remains-the-great-satan-hard-liners-in-iran-say.html,857
2015-09-02,"At Auschwitz, a Summer Precaution Is a Grim Reminder to Some",World,http://www.nytimes.com/2015/09/02/world/europe/at-auschwitz-mist-to-cool-visitors-is-a-grim-reminder-to-some.html,687
2015-09-02,Pope Francis Eases Path to Absolution for Abortion,World,http://www.nytimes.com/2015/09/02/world/pope-francis-abortion-absolution.html,715
2015-09-02,"In West Bank, Speculation Abounds Over Mahmoud Abbas’s Plans",World,http://www.nytimes.com/2015/09/02/world/middleeast/in-west-bank-speculation-abounds-over-mahmoud-abbass-plans.html,1246
2015-09-02,Police Clear ‘You Stink’ Protesters From Minister’s Offices in Beirut,World,http://www.nytimes.com/2015/09/02/world/middleeast/lebanons-you-stink-protesters-stage-sit-in-demanding-ministers-resignation.html,1002
2015-09-02,Obama Nears Needed Votes on Iran Nuclear Deal,World,http://www.nytimes.com/2015/09/02/us/politics/obama-gains-support-of-senator-bob-casey-for-iran-deal.html,1151
2015-09-02,French Publisher Won’t Print Book on Moroccan King After Authors’ Arrest,World,http://www.nytimes.com/2015/09/02/world/europe/french-publisher-wont-print-book-on-moroccan-king-after-authors-arrest.html,1069
2015-09-02,Austria Discovers Syrian Travel Documents in Truck Where Bodies Were Found,World,http://www.nytimes.com/2015/09/02/world/europe/migrants-deaths-austria.html,524
2015-09-02,Sharp Denials After Arrest of Vice News Journalists in Turkey,World,http://www.nytimes.com/2015/09/02/world/europe/turkey-arrests-3-vice-news-journalists-on-terrorism-charges.html,656
2015-09-02,"Suicide Bomber in Pakistan Attacks Government Office, Killing 4",World,http://www.nytimes.com/2015/09/02/world/asia/pakistan-suicide-bombing-khyber.html,266
