,r_1,r_2,r_3,r_4,r_5,g_1,g_2,g_3,g_4,g_5,b_1,b_2,b_3,b_4,b_5,image
0,6298,11263,9228,10499,1112,4881,9669,8880,11543,3427,13314,5639,3039,8850,7558,landscape
1,5746,6313,13677,9613,3051,5746,6313,13677,9613,3051,5746,6313,13677,9613,3051,landscape
2,16958,11939,4759,1922,2822,8509,19555,5792,449,4095,9922,13229,8727,2252,4270,landscape
3,29808,4568,1868,1176,980,20105,8776,5114,2897,1508,17251,6821,5104,5755,3469,landscape
4,237,1718,4610,17107,14728,287,3268,5614,14971,14260,515,4666,7606,13436,12177,landscape
5,20710,4410,540,3631,9109,20710,4410,540,3631,9109,20710,4410,540,3631,9109,landscape
6,3651,6686,13434,10077,4552,7129,7502,12889,9511,1369,30791,1938,1801,2880,990,landscape
7,7157,11430,11220,6609,1984,6504,11883,14531,4628,854,11657,16335,8197,1378,833,landscape
8,8026,13201,10881,4391,1901,4914,18242,8293,5039,1912,19282,10764,1986,4121,2247,landscape
9,13585,12624,9219,2714,258,25468,10477,1838,467,150,32531,4477,913,310,169,landscape
10,3429,6868,8857,6101,13145,1721,7372,12054,10476,6777,6245,7839,9925,7533,6858,landscape
11,5097,18443,8087,5545,1228,5097,18443,8087,5545,1228,5097,18443,8087,5545,1228,landscape
12,7521,6184,8816,11794,4085,8058,6326,13259,9581,1176,9379,3096,14926,10587,412,landscape
13,12459,10252,6609,3424,5656,10599,15448,4993,1838,5522,10528,12863,6524,3009,5476,landscape
14,9269,18067,1769,2632,6663,8014,19428,1644,1324,7990,23120,5771,193,394,8922,landscape
15,2332,8292,10646,9561,7569,1308,4880,16003,12217,3992,5662,12121,4008,16424,185,landscape
16,16506,10192,3829,5294,2579,16572,10127,3828,5294,2579,16575,10123,3829,5294,2579,landscape
17,11179,19254,6166,1573,228,11968,16322,6841,2566,703,24125,5972,5064,2295,944,landscape
18,3808,16279,11073,4704,2536,4019,15699,11410,4879,2393,5806,11580,11977,5633,3404,landscape
19,5342,6020,14781,10725,1532,5113,5577,13307,12785,1618,7593,13980,12073,3170,1584,landscape
20,8761,12882,13692,2551,514,8717,9087,11577,8766,253,17484,4023,4069,11082,1742,landscape
21,7246,11818,12215,5501,1620,7129,11358,12592,5701,1620,14876,10303,6695,4568,1958,landscape
22,9590,11205,10284,5189,2132,860,16212,14403,5694,1231,3554,7363,9390,11088,7005,landscape
23,3163,623,7507,8228,18879,15331,11232,8146,3561,130,3546,20616,12122,2102,14,landscape
24,8070,9817,6866,9434,4213,7840,9871,5827,8145,6717,17961,3087,1614,6467,9271,landscape
25,6442,17523,7868,2518,4049,6442,17523,7868,2518,4049,6442,17523,7868,2518,4049,landscape
26,17244,13230,4098,2841,987,17244,13230,4098,2841,987,17244,13230,4098,2841,987,landscape
27,12412,5588,10666,5138,4596,12412,5588,10666,5138,4596,12412,5588,10666,5138,4596,landscape
28,18029,12233,3855,2719,1564,17373,12639,4417,2851,1120,19204,12895,5020,1141,140,landscape
29,19942,8765,2714,3251,3728,19942,8765,2714,3251,3728,19942,8765,2714,3251,3728,landscape
30,14715,6883,6616,5247,4939,16938,6068,6189,5624,3581,21277,2734,6288,6340,1761,landscape
31,6305,11755,8589,11139,612,10831,12813,3763,2131,8862,20939,4463,1775,1480,9743,landscape
32,4735,6963,14939,7115,4648,6650,6637,14764,6599,3750,8035,6936,7496,12784,3149,landscape
33,24806,7100,5599,606,289,24806,7100,5599,606,289,24806,7100,5599,606,289,landscape
34,2841,3455,12511,15252,4341,756,3347,5415,23806,5076,3852,3748,2183,21814,6803,landscape
35,4339,6376,4041,10323,13321,4298,6430,4126,10569,12977,2168,8376,4745,10940,12171,landscape
36,1044,5668,14561,13386,3741,1683,11499,15991,8718,509,3856,14059,12992,7073,420,landscape
37,3829,16539,13711,2831,1490,2730,8219,18745,7237,1469,3719,7500,8765,15699,2717,landscape
38,4402,9201,11416,12197,1184,5371,13580,7647,10500,1302,12033,11025,3351,10465,1526,landscape
39,4611,14790,9267,5612,4120,3670,9967,10830,11066,2867,6152,8335,7504,3665,12744,landscape
40,18365,7590,6027,5896,522,14952,8537,5913,6840,2158,15307,5270,1572,900,15351,landscape
41,2310,2059,5347,16795,11889,884,1534,4231,15962,15789,218,627,1717,5855,29983,landscape
42,2851,12369,11089,8839,3252,2121,10383,11031,10273,4592,6231,8963,7002,8861,7343,landscape
43,2594,9951,12313,1202,12340,1583,11848,6345,12298,6326,12496,4584,12129,3100,6091,landscape
44,2572,20475,7999,5396,1958,1712,13766,12700,6136,4086,24015,2504,881,1397,9603,landscape
45,3137,6973,13256,11794,3240,4143,7914,12825,9666,3852,6190,11123,8406,5327,7354,landscape
46,5745,11437,6332,5244,9642,4574,11603,8655,3248,10320,11985,6220,7338,8015,4842,landscape
47,11465,8794,5616,4318,8207,5526,5917,8489,9419,9049,13594,8922,1449,3968,10467,landscape
48,5648,11281,11302,6738,3431,2543,9727,11850,9411,4869,4702,7155,7915,9659,8969,landscape
49,12064,14870,5855,3578,2033,17856,12907,4342,2209,1086,22297,9930,4836,869,468,landscape
50,4704,9989,12975,7355,3377,1280,8018,13157,11231,4714,2022,1942,10524,13228,10684,landscape
