,TAX CLASS AT PRESENT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT PRESENT,ZIP CODE,TOTAL UNITS,RESIDENTIAL UNITS,COMMERCIAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,SALE PRICE,NEIGHBORHOOD
0,1,1,A4,10009,1,1,0,1883,5200,6500000,ALPHABET CITY            
2,1,1,C0,10009,3,3,0,2381,3084,2900000,ALPHABET CITY            
3,1,1,C0,10009,3,3,0,2381,3084,2900000,ALPHABET CITY            
5,2A,2,C3,10009,4,4,0,2084,2917,3100000,ALPHABET CITY            
6,2,2,C4,10009,29,26,3,3772,16679,14550000,ALPHABET CITY            
9,2A,2,C2,10009,5,5,0,2169,3728,800000,ALPHABET CITY            
10,2A,2,C3,10009,4,4,0,2413,3155,4300000,ALPHABET CITY            
11,2,2,C7,10009,22,20,2,3481,14588,10500000,ALPHABET CITY            
12,2,2,C7,10009,17,14,3,2623,8385,5700000,ALPHABET CITY            
15,2,2,C4,10009,35,34,1,2404,33130,800265,ALPHABET CITY            
17,2,2,C1,10009,13,13,0,2382,15089,8571429,ALPHABET CITY            
18,2,2,C7,10009,18,17,1,1909,8441,1373501,ALPHABET CITY            
21,2,2,C4,10009,16,16,0,2472,14976,7400000,ALPHABET CITY            
22,2,2,C7,10009,17,15,2,2581,7246,6950000,ALPHABET CITY            
23,2,2,D7,10009,45,41,4,6412,24534,18330000,ALPHABET CITY            
24,2,2,D9,10009,93,93,0,62591,127950,92228571,ALPHABET CITY            
26,2,2,D7,10009,50,48,2,10513,43520,31500000,ALPHABET CITY            
43,2,2,C6,10009,18,18,0,2306,9379,3312459,ALPHABET CITY            
77,2,2,C6,10009,48,48,0,5160,23172,339000,ALPHABET CITY            
131,4,4,E9,10009,1,0,1,2366,2250,4700000,ALPHABET CITY            
134,1,1,A4,10011,1,1,0,1533,4151,7732344,CHELSEA                  
137,1,1,A4,10011,1,1,0,1588,5653,9500000,CHELSEA                  
139,1,1,B3,10011,2,2,0,2700,4562,7425000,CHELSEA                  
140,1,1,S2,10011,3,2,1,2300,7500,9350000,CHELSEA                  
142,1,1,B9,10011,2,2,0,1393,2340,7000000,CHELSEA                  
143,1,1,S2,10011,3,2,1,2581,4907,6200000,CHELSEA                  
144,1,1,C0,10011,3,3,0,1533,3392,332500,CHELSEA                  
145,1,1,A4,10001,1,1,0,1778,5334,8500000,CHELSEA                  
147,2,2,C7,10011,17,16,1,2001,8625,16150000,CHELSEA                  
148,2,2,C7,10011,16,15,1,2001,8625,19350000,CHELSEA                  
150,2A,2,C2,10011,5,5,0,1026,3920,5550000,CHELSEA                  
151,2,2,C5,10011,22,22,0,2050,7980,8500000,CHELSEA                  
154,1,2,A4,10011,1,1,0,1580,4019,16000000,CHELSEA                  
155,2B,2,C1,10011,7,7,0,1547,4150,4887500,CHELSEA                  
158,2,2,C5,10011,33,29,4,8150,20161,105000000,CHELSEA                  
